Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

01:08:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:33 PM  all    4.29    0.00   82.14    0.00    0.00    0.00    0.00    0.00    0.00   13.56
01:08:33 PM    0    3.00    0.00   96.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
01:08:33 PM    1    1.98    0.00   89.11    0.00    0.00    0.00    0.00    0.00    0.00    8.91
01:08:33 PM    2    4.00    0.00   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:33 PM    3    2.00    0.00   90.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
01:08:33 PM    4    4.04    0.00   94.95    0.00    0.00    0.00    0.00    0.00    0.00    1.01
01:08:33 PM    5    2.02    0.00   84.85    0.00    0.00    0.00    0.00    0.00    0.00   13.13
01:08:33 PM    6    2.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:33 PM    7    3.03    0.00   86.87    0.00    0.00    0.00    0.00    0.00    0.00   10.10
01:08:33 PM    8    1.01    0.00   91.92    0.00    0.00    0.00    0.00    0.00    0.00    7.07
01:08:33 PM    9    4.95    0.00   88.12    0.00    0.00    0.00    0.00    0.00    0.00    6.93
01:08:33 PM   10    3.06    0.00   75.51    0.00    0.00    0.00    0.00    0.00    0.00   21.43
01:08:33 PM   11   12.24    0.00   66.33    0.00    0.00    0.00    0.00    0.00    0.00   21.43
01:08:33 PM   12    4.90    0.00   72.55    0.00    0.00    0.00    0.00    0.00    0.00   22.55
01:08:33 PM   13    4.04    0.00   70.71    0.00    0.00    0.00    0.00    0.00    0.00   25.25
01:08:33 PM   14    3.96    0.00   79.21    0.00    0.00    0.00    0.00    0.00    0.00   16.83
01:08:33 PM   15    5.00    0.00   78.00    0.00    0.00    0.00    0.00    0.00    0.00   17.00
01:08:33 PM   16    6.93    0.00   78.22    0.00    0.00    0.00    0.00    0.00    0.00   14.85
01:08:33 PM   17    6.93    0.00   67.33    0.00    0.00    0.00    0.00    0.00    0.00   25.74
01:08:33 PM   18    3.00    0.00   71.00    0.00    0.00    0.00    0.00    0.00    0.00   26.00
01:08:33 PM   19    5.05    0.00   74.75    0.00    0.00    0.00    0.00    0.00    0.00   20.20
01:08:33 PM   20    2.97    0.00   90.10    0.00    0.00    0.00    0.00    0.00    0.00    6.93
01:08:33 PM   21    0.00    0.00   93.94    0.00    0.00    0.00    0.00    0.00    0.00    6.06
01:08:33 PM   22    1.98    0.00   95.05    0.00    0.00    0.00    0.00    0.00    0.00    2.97
01:08:33 PM   23    2.97    0.00   90.10    0.00    0.00    0.00    0.00    0.00    0.00    6.93
01:08:33 PM   24    0.99    0.00   95.05    0.00    0.00    0.00    0.00    0.00    0.00    3.96
01:08:33 PM   25    2.00    0.00   89.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
01:08:33 PM   26    3.03    0.00   94.95    0.00    0.00    0.00    0.00    0.00    0.00    2.02
01:08:33 PM   27    2.00    0.00   95.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
01:08:33 PM   28    2.02    0.00   88.89    0.00    0.00    0.00    0.00    0.00    0.00    9.09
01:08:33 PM   29    2.00    0.00   92.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
01:08:33 PM   30    4.00    0.00   83.00    0.00    0.00    0.00    0.00    0.00    0.00   13.00
01:08:33 PM   31   20.00    0.00   42.00    0.00    0.00    0.00    0.00    0.00    0.00   38.00
01:08:33 PM   32    4.08    0.00   60.20    0.00    0.00    0.00    0.00    0.00    0.00   35.71
01:08:33 PM   33    9.18    0.00   79.59    0.00    0.00    0.00    0.00    0.00    0.00   11.22
01:08:33 PM   34    4.12    0.00   79.38    0.00    0.00    0.00    0.00    0.00    0.00   16.49
01:08:33 PM   35    1.98    0.00   78.22    0.00    0.00    0.00    0.00    0.00    0.00   19.80
01:08:33 PM   36    3.06    0.00   72.45    0.00    0.00    0.00    0.00    0.00    0.00   24.49
01:08:33 PM   37    8.25    0.00   64.95    0.00    0.00    0.00    0.00    0.00    0.00   26.80
01:08:33 PM   38    5.15    0.00   80.41    0.00    0.00    0.00    0.00    0.00    0.00   14.43
01:08:33 PM   39    9.18    0.00   70.41    0.00    0.00    0.00    0.00    0.00    0.00   20.41

01:08:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:34 PM  all    4.30    0.00   82.99    0.50    0.00    0.00    0.00    0.00    0.00   12.21
01:08:34 PM    0    3.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:34 PM    1    1.01    0.00   97.98    0.00    0.00    0.00    0.00    0.00    0.00    1.01
01:08:34 PM    2    2.97    0.00   97.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:34 PM    3    1.98    0.00   93.07    0.00    0.00    0.00    0.00    0.00    0.00    4.95
01:08:34 PM    4    2.94    0.00   91.18    0.00    0.00    0.00    0.00    0.00    0.00    5.88
01:08:34 PM    5    2.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:34 PM    6    2.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
